qseqid	sseqid	identity	length	mismatch	gaps	qstart	qend	sstart	send	evalue	bitscore	sscinames
ACXO01000161.1	UniRef50_A0A418GJB2	97.1	347	10	0	1	1041	8	354	6.00E-183	647.9	UniRef50_A0A418GJB2 ATP-dependent helicase HrpB (Fragment) n=6 Tax=Gammaproteobacteria TaxID=1236 RepID=A0A418GJB2_ECOLX
ACXO01000161.1	UniRef50_A0A0L0GGG7	86	356	50	0	1	1068	8	363	6.00E-167	594.7	UniRef50_A0A0L0GGG7 ATP-dependent helicase HrpB (Fragment) n=33 Tax=Gammaproteobacteria TaxID=1236 RepID=A0A0L0GGG7_9ENTR
ABKP02018985.1	UniRef50_A0A182JF92	98.8	320	4	0	1	960	579	898	2.60E-177	629	UniRef50_A0A182JF92 RNA helicase n=4 Tax=Endopterygota TaxID=33392 RepID=A0A182JF92_ANOAO
ABKP02018985.1	UniRef50_A0A1J1IPW0	93.8	320	20	0	1	960	1135	1454	1.50E-169	603.2	UniRef50_A0A1J1IPW0 RNA helicase n=1 Tax=Clunio marinus TaxID=568069 RepID=A0A1J1IPW0_9DIPT
ABKP02018985.1	UniRef50_Q7K3M5	90	320	32	0	1	960	97	416	5.60E-164	584.7	UniRef50_Q7K3M5 ATP-dependent RNA helicase DHX15 homolog n=243 Tax=Eukaryota TaxID=2759 RepID=DHX15_DROME
ABKP02018985.1	UniRef50_A0A2W1BJW7	89.4	322	32	1	1	960	102	423	4.80E-163	581.6	UniRef50_A0A2W1BJW7 RNA helicase n=1 Tax=Helicoverpa armigera TaxID=29058 RepID=A0A2W1BJW7_HELAM
ABKP02018985.1	UniRef50_A0A835L210	89.4	322	32	1	1	960	102	423	6.20E-163	581.3	UniRef50_A0A835L210 RNA helicase n=1 Tax=Spodoptera exigua TaxID=7107 RepID=A0A835L210_SPOEX
ADMH02001908.1	UniRef50_A0A182JF92	97.8	320	7	0	1	960	579	898	1.10E-175	623.6	UniRef50_A0A182JF92 RNA helicase n=4 Tax=Endopterygota TaxID=33392 RepID=A0A182JF92_ANOAO
ADMH02001908.1	UniRef50_A0A1J1IPW0	93.1	320	22	0	1	960	1135	1454	2.90E-168	599	UniRef50_A0A1J1IPW0 RNA helicase n=1 Tax=Clunio marinus TaxID=568069 RepID=A0A1J1IPW0_9DIPT
ADMH02001908.1	UniRef50_A0A8S1C628	89.7	320	33	0	1	960	671	990	1.90E-164	586.3	UniRef50_A0A8S1C628 RNA helicase n=5 Tax=Pterygota TaxID=7496 RepID=A0A8S1C628_9INSE
ADMH02001908.1	UniRef50_Q7K3M5	90.3	320	31	0	1	960	97	416	1.90E-164	586.3	UniRef50_Q7K3M5 ATP-dependent RNA helicase DHX15 homolog n=243 Tax=Eukaryota TaxID=2759 RepID=DHX15_DROME
ADMH02001908.1	UniRef50_A0A2W1BJW7	89.4	322	32	1	1	960	102	423	6.20E-163	581.3	UniRef50_A0A2W1BJW7 RNA helicase n=1 Tax=Helicoverpa armigera TaxID=29058 RepID=A0A2W1BJW7_HELAM
ALPR02003483.1	UniRef50_A0A182JF92	98.8	320	4	0	1	960	579	898	7.60E-177	627.5	UniRef50_A0A182JF92 RNA helicase n=4 Tax=Endopterygota TaxID=33392 RepID=A0A182JF92_ANOAO
ALPR02003483.1	UniRef50_A0A1J1IPW0	93.8	320	20	0	1	960	1135	1454	1.20E-169	603.6	UniRef50_A0A1J1IPW0 RNA helicase n=1 Tax=Clunio marinus TaxID=568069 RepID=A0A1J1IPW0_9DIPT
ALPR02003483.1	UniRef50_Q7K3M5	90.3	320	31	0	1	960	97	416	6.60E-165	587.8	UniRef50_Q7K3M5 ATP-dependent RNA helicase DHX15 homolog n=243 Tax=Eukaryota TaxID=2759 RepID=DHX15_DROME
ALPR02003483.1	UniRef50_A0A2W1BJW7	89.8	322	31	1	1	960	102	423	5.60E-164	584.7	UniRef50_A0A2W1BJW7 RNA helicase n=1 Tax=Helicoverpa armigera TaxID=29058 RepID=A0A2W1BJW7_HELAM
ALPR02003483.1	UniRef50_A0A835L210	89.8	322	31	1	1	960	102	423	7.30E-164	584.3	UniRef50_A0A835L210 RNA helicase n=1 Tax=Spodoptera exigua TaxID=7107 RepID=A0A835L210_SPOEX
APCG01002054.1	UniRef50_A0A182JF92	98.8	320	4	0	1	960	579	898	7.60E-177	627.5	UniRef50_A0A182JF92 RNA helicase n=4 Tax=Endopterygota TaxID=33392 RepID=A0A182JF92_ANOAO
APCG01002054.1	UniRef50_A0A1J1IPW0	93.8	320	20	0	1	960	1135	1454	1.20E-169	603.6	UniRef50_A0A1J1IPW0 RNA helicase n=1 Tax=Clunio marinus TaxID=568069 RepID=A0A1J1IPW0_9DIPT
APCG01002054.1	UniRef50_Q7K3M5	90.3	320	31	0	1	960	97	416	6.60E-165	587.8	UniRef50_Q7K3M5 ATP-dependent RNA helicase DHX15 homolog n=243 Tax=Eukaryota TaxID=2759 RepID=DHX15_DROME
APCG01002054.1	UniRef50_A0A2W1BJW7	89.8	322	31	1	1	960	102	423	5.60E-164	584.7	UniRef50_A0A2W1BJW7 RNA helicase n=1 Tax=Helicoverpa armigera TaxID=29058 RepID=A0A2W1BJW7_HELAM
APCG01002054.1	UniRef50_A0A835L210	89.8	322	31	1	1	960	102	423	7.30E-164	584.3	UniRef50_A0A835L210 RNA helicase n=1 Tax=Spodoptera exigua TaxID=7107 RepID=A0A835L210_SPOEX
APCH01001552.1	UniRef50_A0A182JF92	98.8	320	4	0	1	960	579	898	2.60E-177	629	UniRef50_A0A182JF92 RNA helicase n=4 Tax=Endopterygota TaxID=33392 RepID=A0A182JF92_ANOAO
APCH01001552.1	UniRef50_A0A1J1IPW0	93.8	320	20	0	1	960	1135	1454	1.50E-169	603.2	UniRef50_A0A1J1IPW0 RNA helicase n=1 Tax=Clunio marinus TaxID=568069 RepID=A0A1J1IPW0_9DIPT
APCH01001552.1	UniRef50_Q7K3M5	90	320	32	0	1	960	97	416	5.60E-164	584.7	UniRef50_Q7K3M5 ATP-dependent RNA helicase DHX15 homolog n=243 Tax=Eukaryota TaxID=2759 RepID=DHX15_DROME
APCH01001552.1	UniRef50_A0A2W1BJW7	89.4	322	32	1	1	960	102	423	4.80E-163	581.6	UniRef50_A0A2W1BJW7 RNA helicase n=1 Tax=Helicoverpa armigera TaxID=29058 RepID=A0A2W1BJW7_HELAM
APCH01001552.1	UniRef50_A0A835L210	89.4	322	32	1	1	960	102	423	6.20E-163	581.3	UniRef50_A0A835L210 RNA helicase n=1 Tax=Spodoptera exigua TaxID=7107 RepID=A0A835L210_SPOEX
APCJ01000276.1	UniRef50_A0A182JF92	98.8	320	4	0	1	960	579	898	2.60E-177	629	UniRef50_A0A182JF92 RNA helicase n=4 Tax=Endopterygota TaxID=33392 RepID=A0A182JF92_ANOAO
APCJ01000276.1	UniRef50_A0A1J1IPW0	93.8	320	20	0	1	960	1135	1454	1.50E-169	603.2	UniRef50_A0A1J1IPW0 RNA helicase n=1 Tax=Clunio marinus TaxID=568069 RepID=A0A1J1IPW0_9DIPT
APCJ01000276.1	UniRef50_Q7K3M5	90	320	32	0	1	960	97	416	5.60E-164	584.7	UniRef50_Q7K3M5 ATP-dependent RNA helicase DHX15 homolog n=243 Tax=Eukaryota TaxID=2759 RepID=DHX15_DROME
APCJ01000276.1	UniRef50_A0A2W1BJW7	89.4	322	32	1	1	960	102	423	4.80E-163	581.6	UniRef50_A0A2W1BJW7 RNA helicase n=1 Tax=Helicoverpa armigera TaxID=29058 RepID=A0A2W1BJW7_HELAM
APCJ01000276.1	UniRef50_A0A835L210	89.4	322	32	1	1	960	102	423	6.20E-163	581.3	UniRef50_A0A835L210 RNA helicase n=1 Tax=Spodoptera exigua TaxID=7107 RepID=A0A835L210_SPOEX
ATLV01013224.1	UniRef50_A0A182JF92	97.5	320	8	0	1	960	579	898	7.10E-175	620.9	UniRef50_A0A182JF92 RNA helicase n=4 Tax=Endopterygota TaxID=33392 RepID=A0A182JF92_ANOAO
ATLV01013224.1	UniRef50_A0A1J1IPW0	93.1	320	22	0	1	960	1135	1454	1.30E-168	600.1	UniRef50_A0A1J1IPW0 RNA helicase n=1 Tax=Clunio marinus TaxID=568069 RepID=A0A1J1IPW0_9DIPT
ATLV01013224.1	UniRef50_A0A8S1C628	89.4	320	34	0	1	960	671	990	1.30E-163	583.6	UniRef50_A0A8S1C628 RNA helicase n=5 Tax=Pterygota TaxID=7496 RepID=A0A8S1C628_9INSE
ATLV01013224.1	UniRef50_Q7K3M5	89.7	320	33	0	1	960	97	416	1.30E-163	583.6	UniRef50_Q7K3M5 ATP-dependent RNA helicase DHX15 homolog n=243 Tax=Eukaryota TaxID=2759 RepID=DHX15_DROME
ATLV01013224.1	UniRef50_A0A2W1BJW7	88.8	322	34	1	1	960	102	423	1.20E-161	577	UniRef50_A0A2W1BJW7 RNA helicase n=1 Tax=Helicoverpa armigera TaxID=29058 RepID=A0A2W1BJW7_HELAM
AXCK02004208.1	UniRef50_A0A182JF92	97.5	320	8	0	1	960	579	898	7.10E-175	620.9	UniRef50_A0A182JF92 RNA helicase n=4 Tax=Endopterygota TaxID=33392 RepID=A0A182JF92_ANOAO
AXCK02004208.1	UniRef50_A0A1J1IPW0	93.1	320	22	0	1	960	1135	1454	1.30E-168	600.1	UniRef50_A0A1J1IPW0 RNA helicase n=1 Tax=Clunio marinus TaxID=568069 RepID=A0A1J1IPW0_9DIPT
AXCK02004208.1	UniRef50_A0A8S1C628	89.4	320	34	0	1	960	671	990	1.30E-163	583.6	UniRef50_A0A8S1C628 RNA helicase n=5 Tax=Pterygota TaxID=7496 RepID=A0A8S1C628_9INSE
AXCK02004208.1	UniRef50_Q7K3M5	89.7	320	33	0	1	960	97	416	1.30E-163	583.6	UniRef50_Q7K3M5 ATP-dependent RNA helicase DHX15 homolog n=243 Tax=Eukaryota TaxID=2759 RepID=DHX15_DROME
AXCK02004208.1	UniRef50_A0A2W1BJW7	88.8	322	34	1	1	960	102	423	1.20E-161	577	UniRef50_A0A2W1BJW7 RNA helicase n=1 Tax=Helicoverpa armigera TaxID=29058 RepID=A0A2W1BJW7_HELAM
AXCN01000608.1	UniRef50_A0A182JF92	98.1	320	6	0	1	960	579	898	3.80E-176	625.2	UniRef50_A0A182JF92 RNA helicase n=4 Tax=Endopterygota TaxID=33392 RepID=A0A182JF92_ANOAO
AXCN01000608.1	UniRef50_A0A1J1IPW0	93.8	320	20	0	1	960	1135	1454	2.00E-169	602.8	UniRef50_A0A1J1IPW0 RNA helicase n=1 Tax=Clunio marinus TaxID=568069 RepID=A0A1J1IPW0_9DIPT
AXCN01000608.1	UniRef50_Q7K3M5	90	320	32	0	1	960	97	416	7.30E-164	584.3	UniRef50_Q7K3M5 ATP-dependent RNA helicase DHX15 homolog n=243 Tax=Eukaryota TaxID=2759 RepID=DHX15_DROME
AXCN01000608.1	UniRef50_A0A2W1BJW7	89.4	322	32	1	1	960	102	423	6.20E-163	581.3	UniRef50_A0A2W1BJW7 RNA helicase n=1 Tax=Helicoverpa armigera TaxID=29058 RepID=A0A2W1BJW7_HELAM
AXCN01000608.1	UniRef50_A0A835L210	89.4	322	32	1	1	960	102	423	8.10E-163	580.9	UniRef50_A0A835L210 RNA helicase n=1 Tax=Spodoptera exigua TaxID=7107 RepID=A0A835L210_SPOEX
AXCQ01002391.1	UniRef50_A0A182JF92	98.8	320	4	0	1	960	579	898	2.60E-177	629	UniRef50_A0A182JF92 RNA helicase n=4 Tax=Endopterygota TaxID=33392 RepID=A0A182JF92_ANOAO
AXCQ01002391.1	UniRef50_A0A1J1IPW0	93.8	320	20	0	1	960	1135	1454	1.50E-169	603.2	UniRef50_A0A1J1IPW0 RNA helicase n=1 Tax=Clunio marinus TaxID=568069 RepID=A0A1J1IPW0_9DIPT
AXCQ01002391.1	UniRef50_Q7K3M5	90	320	32	0	1	960	97	416	5.60E-164	584.7	UniRef50_Q7K3M5 ATP-dependent RNA helicase DHX15 homolog n=243 Tax=Eukaryota TaxID=2759 RepID=DHX15_DROME
AXCQ01002391.1	UniRef50_A0A2W1BJW7	89.4	322	32	1	1	960	102	423	4.80E-163	581.6	UniRef50_A0A2W1BJW7 RNA helicase n=1 Tax=Helicoverpa armigera TaxID=29058 RepID=A0A2W1BJW7_HELAM
AXCQ01002391.1	UniRef50_A0A835L210	89.4	322	32	1	1	960	102	423	6.20E-163	581.3	UniRef50_A0A835L210 RNA helicase n=1 Tax=Spodoptera exigua TaxID=7107 RepID=A0A835L210_SPOEX
