original values				detectEVE	original values											detectEVE values												
Contig	name	Host_species	Location	locus	Orientation	Best_viral_match	NR evalue	PFAM evalue	region	element																		
AAGE02003866	n.s.	Yellow fever mosquito	28955-29876	AAGE02003866.1_29006-29876:+	+	EF173366	8.00E-158	3.30E-94	6053-6928	NA	negative sense RNA	Vesiculovirus	NA	NA	NA	AAGE02_EVE236	high	95	viral (20), maybe-viral (1)	VDB (18), UDB Viruses (2), uncharacterized protein (1)	1.34E-174	81.9	Uncharacterized protein n=3 Tax=root  RepID=A0AAB0A006_AEDAL	polymerase [Yinshui bat virus] acc=QIQ19224.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Vesiculovirus;s__Vesiculovirus yinshui	Negarnaviricota		
AAGE02005401	n.s.	(Aedes aegypti)	11447-11842	AAGE02005401.1_11401-11851:-	-	AJ810084	2.00E-25	N/A	9617-10003	NA	negative sense RNA	Vesiculovirus	NA	NA	NA	AAGE02_EVE237	high	95	viral (19), non-viral (1)	VDB (15), UDB Viruses (4), annotated protein of unclassified root superkingdom (1)	8.80E-52	62.1	Replicase n=18 Tax=Orthornavirae  RepID=A0A140D050_9RHAB	Replicase n=18 Tax=Orthornavirae  RepID=A0A140D050_9RHAB	k__Viruses;K__Orthornavirae;p__unclassified Orthornavirae phylum;c__unclassified Orthornavirae class;o__unclassified Orthornavirae order;f__unclassified Orthornavirae family;g__unclassified Orthornavirae genus;s__unclassified Orthornavirae species	Negarnaviricota		
AAGE02010562	n.s.	(Aedes aegypti)	116044-116697	AAGE02010562.1_116053-117062:+	+	FJ872827	1.00E-12	6.30E-26	3387-3851	NA	negative sense RNA	Vesiculovirus	NA	NA	NA	AAGE02_EVE294	high	82	viral (7), non-viral (1)	VDB (4), UDB Viruses (3), annotated protein of Eukaryota (1)	6.30E-132	74.8	AAEL007844-PA n=1 Tax=Aedes aegypti  RepID=Q170M5_AEDAE	Glycoprotein n=2 Tax=unclassified Rhabdoviridae  RepID=A0AAE9TAV0_9RHAB	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__unclassified Rhabdoviridae species	Negarnaviricota		
AAGE02010562	n.s.	(Aedes aegypti)	52134-53624	AAGE02010562.1_52248-53639:+	+	AY149905	5.00E-154	8.80E-168	8161-9537	NA	positive sense RNA	Flavivirus	NA	NA	NA	AAGE02_EVE241	high	94	viral (19), non-viral (1)	VDB (14), UDB Viruses (5), annotated protein of unclassified root superkingdom (1)	2.78E-274	95.1	NS5 (Fragment) n=19 Tax=root  RepID=A0A8E6MAY7_9FLAV	polyprotein [Falli virus] acc=QIS62329.1	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Falli virus	Kitrinoviricota		
AAGE02010562	n.s.	(Aedes aegypti)	84484-84930	AAGE02010562.1_84484-84930:+	+	AY149905	4.00E-53	1.50E-66	9457-9912	NA	positive sense RNA	Flavivirus	NA	NA	NA	AAGE02_EVE042	high	100	viral (20)	VDB (14), UDB Viruses (6)	2.16E-79	78.9	polyprotein [Kilpisjarvi flavivirus] acc=UUV42161.1	polyprotein [Kilpisjarvi flavivirus] acc=UUV42161.1	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Flasuviricetes;o__Amarillovirales;f__Flaviviridae;g__Orthoflavivirus;s__Kilpisjarvi flavivirus	Kitrinoviricota		
AAGE02010564	n.s.	(Aedes aegypti)	9823-10526	AAGE02010564.1_9546-10178:+	+	D26175	1.00E-15	5.70E-31	3285-3851	NA	negative sense RNA	Vesiculovirus	NA	NA	NA	AAGE02_EVE319	high	73	viral (2), non-viral (1)	annotated protein of Eukaryota (1), UDB Viruses (1), VDB (1)	1.78E-136	85.2	putative glycoprotein [Aedes rhabdo-like virus] acc=QPF16717.1	putative glycoprotein [Aedes rhabdo-like virus] acc=QPF16717.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Aedes rhabdo-like virus	Negarnaviricota		
AAGE02010564	n.s.	(Aedes aegypti)	9823-10526	AAGE02010564.1_10164-10891:+	+	D26175	1.00E-15	5.70E-31	3285-3851	NA	negative sense RNA	Vesiculovirus	NA	NA	NA	AAGE02_EVE292	high	83	viral (5), non-viral (1)	VDB (3), UDB Viruses (2), annotated protein of Eukaryota (1)	4.93E-80	49.4	glycoprotein [Evros rhabdovirus 1] acc=QRD99857.1	glycoprotein [Evros rhabdovirus 1] acc=QRD99857.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Evros rhabdovirus 1	Negarnaviricota		
AAGE02010785	n.s.	(Aedes aegypti)	64243-65127	AAGE02010785.1_64273-65185:+	+	AY614723	5.00E-16	3.80E-31	3093-3998	NA	negative sense RNA	Vesiculovirus	NA	NA	NA	AAGE02_EVE051	high	100	viral (20)	VDB (13), UDB Viruses (7)	1.74E-72	39.2	glycoprotein [Rhabdoviridae sp.] acc=QXV86501.1	glycoprotein [Rhabdoviridae sp.] acc=QXV86501.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Rhabdoviridae sp.	Negarnaviricota		
AAGE02011785	n.s.	(Aedes aegypti)	74913-78549	AAGE02011785.1_74952-78600:-	-ve	AY149905	3.00E-105	1.30E-58	154-3753	NA	positive sense RNA	Flavivirus	NA	NA	NA	AAGE02_EVE058	high	100	viral (6)	VDB (5), UDB Viruses (1)	0	52.1	polyprotein [Falli virus] acc=QIS62329.1	polyprotein [Falli virus] acc=QIS62329.1	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Falli virus	Kitrinoviricota		
AAGE02011785	n.s.	(Aedes aegypti)	82630-83397	AAGE02011785.1_82117-83547:-	-	U18101.2	6.00E-24	5.90E-41	3285-4073	NA	negative sense RNA	Vesiculovirus	NA	NA	NA	AAGE02_EVE314	high	75	viral (5), non-viral (1)	VDB (3), UDB Viruses (2), annotated protein of Eukaryota (1)	1.39E-229	88.4	AAEL007844-PA n=1 Tax=Aedes aegypti  RepID=Q170M5_AEDAE	putative glycoprotein [Hattula rhabdovirus] acc=WCD44318.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Hattula rhabdovirus		Negarnaviricota	
AAGE02013358	n.s.	(Aedes aegypti)	328857-329471	AAGE02013358.1_328230-328445:+	+	FJ872827	7.00E-22	3.50E-39	3285-3929	NA	negative sense RNA	Vesiculovirus	NA	NA	NA	AAGE02_EVE327	high	61	viral (3), non-viral (1)	VDB (2), annotated protein of Eukaryota (1), UDB Viruses (1)	6.05E-38	88.9	AAEL007844-PA n=1 Tax=Aedes aegypti  RepID=Q170M5_AEDAE	Glycoprotein n=2 Tax=unclassified Rhabdoviridae  RepID=A0AAE9TAV0_9RHAB	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__unclassified Rhabdoviridae species	Negarnaviricota		
AAGE02013358	n.s.	(Aedes aegypti)	328857-329471	AAGE02013358.1_329244-329459:+	+	FJ872827	7.00E-22	3.50E-39	3285-3929	NA	negative sense RNA	Vesiculovirus	NA	NA	NA	AAGE02_EVE328	high	61	viral (3), non-viral (1)	VDB (2), annotated protein of Eukaryota (1), UDB Viruses (1)	1.14E-37	88.9	AAEL007844-PA n=1 Tax=Aedes aegypti  RepID=Q170M5_AEDAE	Glycoprotein n=2 Tax=unclassified Rhabdoviridae  RepID=A0AAE9TAV0_9RHAB	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__unclassified Rhabdoviridae species	Negarnaviricota		
AAGE02013358	n.s.	(Aedes aegypti)	304758-305708	AAGE02013358.1_304608-305942:+	+	DQ227502	5.00E-27	1.80E-45	3285-4244	NA	negative sense RNA	Vesiculovirus	NA	NA	NA	AAGE02_EVE325	high	63	viral (3), non-viral (1)	VDB (2), annotated protein of Eukaryota (1), UDB Viruses (1)	1.32E-250	100	AAEL007844-PA n=1 Tax=Aedes aegypti  RepID=Q170M5_AEDAE	putative glycoprotein [Hattula rhabdovirus] acc=WCD44318.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Hattula rhabdovirus	Negarnaviricota		
AAGE02013358	n.s.	(Aedes aegypti)	328857-329471	AAGE02013358.1_328752-329264:+	+	FJ872827	7.00E-22	3.50E-39	3285-3929	NA	negative sense RNA	Vesiculovirus	NA	NA	NA	AAGE02_EVE324	high	64	viral (2), non-viral (1)	annotated protein of Eukaryota (1), UDB Viruses (1), VDB (1)	6.84E-117	95.3	AAEL007844-PA n=1 Tax=Aedes aegypti  RepID=Q170M5_AEDAE	putative glycoprotein [Aedes rhabdo-like virus] acc=QPF16717.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Aedes rhabdo-like virus	Negarnaviricota		
AAGE02013358	n.s.	(Aedes aegypti)	306294-307052	AAGE02013358.1_306144-307466:+	+	DQ227502	3.00E-24	1.80E-43	3285-4064	NA	negative sense RNA	Vesiculovirus	NA	NA	NA	AAGE02_EVE316	high	74	viral (5), non-viral (1)	VDB (3), UDB Viruses (2), annotated protein of Eukaryota (1)	4.62E-223	99.3	AAEL007844-PA n=1 Tax=Aedes aegypti  RepID=Q170M5_AEDAE	putative glycoprotein [Hattula rhabdovirus] acc=WCD44318.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Hattula rhabdovirus	Negarnaviricota		
AAGE02013358	n.s.	(Aedes aegypti)	327843-328457	AAGE02013358.1_327789-328250:+	+	U18101.2	7.00E-22	1.50E-39	3285-3929	NA	negative sense RNA	Vesiculovirus	NA	NA	NA	AAGE02_EVE309	high	77	viral (5), non-viral (1)	VDB (3), UDB Viruses (2), annotated protein of Eukaryota (1)	2.07E-99	95.3	AAEL007844-PA n=1 Tax=Aedes aegypti  RepID=Q170M5_AEDAE	putative glycoprotein [Aedes rhabdo-like virus] acc=QPF16717.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Aedes rhabdo-like virus	Negarnaviricota		
AAGE02013358	n.s.	(Aedes aegypti)	328857-329471	AAGE02013358.1_327789-328250:+	+	FJ872827	7.00E-22	3.50E-39	3285-3929	NA	negative sense RNA	Vesiculovirus	NA	NA	NA	AAGE02_EVE309	high	77	viral (5), non-viral (1)	VDB (3), UDB Viruses (2), annotated protein of Eukaryota (1)	2.07E-99	95.3	AAEL007844-PA n=1 Tax=Aedes aegypti  RepID=Q170M5_AEDAE	putative glycoprotein [Aedes rhabdo-like virus] acc=QPF16717.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Aedes rhabdo-like virus	Negarnaviricota		
AAGE02013358	n.s.	(Aedes aegypti)	379637-380470	AAGE02013358.1_379592-380449:+	+	AY149905	7.00E-78	3.00E-21	5191-5988	NA	positive sense RNA	Flavivirus	NA	NA	NA	AAGE02_EVE297	high	81	viral (11), maybe-viral (3)	VDB (8), UDB Viruses (2), uncharacterized protein (2), polyprotein protein (1), virus (1)	4.06E-193	94.1	Uncharacterized protein n=1 Tax=Aedes aegypti  RepID=A0A6I8U014_AEDAE	polyprotein [Falli virus] acc=QIS62329.1	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Falli virus	Kitrinoviricota		
AAGE02013358	n.s.	(Aedes aegypti)	380411-385681	AAGE02013358.1_379592-380449:+	+	AY149905	9.00E-20	-	3409-5988	NA	positive sense RNA	Flavivirus	NA	NA	NA	AAGE02_EVE297	high	81	viral (11), maybe-viral (3)	VDB (8), UDB Viruses (2), uncharacterized protein (2), polyprotein protein (1), virus (1)	4.06E-193	94.1	Uncharacterized protein n=1 Tax=Aedes aegypti  RepID=A0A6I8U014_AEDAE	polyprotein [Falli virus] acc=QIS62329.1	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Falli virus	Kitrinoviricota		
AAGE02013358	n.s.	(Aedes aegypti)	373911-375703	AAGE02013358.1_373251-373949:+	+	AY149905	7.00E-143	2.10E-42	4525-5988	NA	positive sense RNA	Flavivirus	NA	NA	NA	AAGE02_EVE295	high	82	viral (9), maybe-viral (2)	VDB (7), UDB Viruses (2), polyprotein protein (1), uncharacterized protein (1)	1.91E-165	100	Uncharacterized protein n=1 Tax=Aedes aegypti  RepID=A0A6I8U014_AEDAE	polyprotein [Kilpisjarvi flavivirus] acc=UUV42161.1	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Flasuviricetes;o__Amarillovirales;f__Flaviviridae;g__Orthoflavivirus;s__Kilpisjarvi flavivirus	Kitrinoviricota		
AAGE02013358	n.s.	(Aedes aegypti)	373911-375703	AAGE02013358.1_375650-376273:+	+	AY149905	7.00E-143	2.10E-42	4525-5988	NA	positive sense RNA	Flavivirus	NA	NA	NA	AAGE02_EVE287	high	84	viral (6), maybe-viral (1)	VDB (5), UDB Viruses (1), uncharacterized protein (1)	1.17E-82	96.2	Uncharacterized protein n=1 Tax=Aedes aegypti  RepID=A0A6I8U7Z5_AEDAE	polyprotein [Falli virus] acc=QIS62329.1	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Falli virus	Kitrinoviricota		
AAGE02013358	n.s.	(Aedes aegypti)	375653-376273	AAGE02013358.1_375650-376273:+	+	AY149905	4.00E-06	-	3643-3936	NA	positive sense RNA	Flavivirus	NA	NA	NA	AAGE02_EVE287	high	84	viral (6), maybe-viral (1)	VDB (5), UDB Viruses (1), uncharacterized protein (1)	1.17E-82	96.2	Uncharacterized protein n=1 Tax=Aedes aegypti  RepID=A0A6I8U7Z5_AEDAE	polyprotein [Falli virus] acc=QIS62329.1	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Falli virus	Kitrinoviricota		
AAGE02013358	n.s.	(Aedes aegypti)	380411-385681	AAGE02013358.1_380408-381031:+	+	AY149905	9.00E-20	-	3409-5988	NA	positive sense RNA	Flavivirus	NA	NA	NA	AAGE02_EVE288	high	84	viral (6), maybe-viral (1)	VDB (5), UDB Viruses (1), uncharacterized protein (1)	3.34E-82	96.2	Uncharacterized protein n=1 Tax=Aedes aegypti  RepID=A0A6I8U7Z5_AEDAE	polyprotein [Falli virus] acc=QIS62329.1	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Falli virus	Kitrinoviricota		
AAGE02013358	n.s.	(Aedes aegypti)	385622-387353	AAGE02013358.1_380408-381031:+	+	AY149905	9.00E-54	2.30E-10	3463-4887	NA	positive sense RNA	Flavivirus	NA	NA	NA	AAGE02_EVE288	high	84	viral (6), maybe-viral (1)	VDB (5), UDB Viruses (1), uncharacterized protein (1)	3.34E-82	96.2	Uncharacterized protein n=1 Tax=Aedes aegypti  RepID=A0A6I8U7Z5_AEDAE	polyprotein [Falli virus] acc=QIS62329.1	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Falli virus	Kitrinoviricota		
AAGE02013358	n.s.	(Aedes aegypti)	373911-375703	AAGE02013358.1_374165-375691:+	+	AY149905	7.00E-143	2.10E-42	4525-5988	NA	positive sense RNA	Flavivirus	NA	NA	NA	AAGE02_EVE271	high	87	viral (17), maybe-viral (3)	VDB (12), UDB Viruses (4), uncharacterized protein (2), polyprotein protein (1), virus (1)	2.38E-278	99	Uncharacterized protein n=1 Tax=Aedes aegypti  RepID=A0A6I8U014_AEDAE	polyprotein [Falli virus] acc=QIS62329.1	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Falli virus	Kitrinoviricota		
AAGE02013358	n.s.	(Aedes aegypti)	417592-417780	AAGE02013358.1_387216-387353:+	+	AY149905	1.00E-21	9.10E-11	7627-7815	NA	positive sense RNA	Flavivirus	NA	NA	NA	AAGE02_EVE262	high	91	viral (13), maybe-viral (2)	VDB (8), UDB Viruses (4), polyprotein protein (1), uncharacterized protein (1), virus (1)	2.63E-27	100	nonstructural protein 3 [Aedes aegypti To flavivirus-like] acc=QPF16706.1	nonstructural protein 3 [Aedes aegypti To flavivirus-like] acc=QPF16706.1	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Flasuviricetes;o__Amarillovirales;f__Flaviviridae;g__unclassified Flaviviridae genus;s__Aedes aegypti To flavivirus-like	Kitrinoviricota		
AAGE02013358	n.s.	Yellow fever mosquito	350998-356394	AAGE02013358.1_350998-356394:+	+	AY149905	0	5.10E-41	2683-8113	NA	positive sense RNA	Flavivirus	NA	NA	NA	AAGE02_EVE075	high	100	viral (14)	VDB (11), UDB Viruses (3)	0	58.1	polyprotein [Falli virus] acc=QIS62329.1	polyprotein [Falli virus] acc=QIS62329.1	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Falli virus	Kitrinoviricota		
AAGE02013358	n.s.	(Aedes aegypti)	385622-387353	AAGE02013358.1_385619-387013:+	+	AY149905	9.00E-54	2.30E-10	3463-4887	NA	positive sense RNA	Flavivirus	NA	NA	NA	AAGE02_EVE077	high	100	viral (6)	VDB (5), UDB Viruses (1)	7.24E-167	54.2	polyprotein [Falli virus] acc=QIS62329.1	polyprotein [Falli virus] acc=QIS62329.1	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Falli virus	Kitrinoviricota		
AAGE02013358	n.s.	(Aedes aegypti)	417592-417780	AAGE02013358.1_385619-387013:+	+	AY149905	1.00E-21	9.10E-11	7627-7815	NA	positive sense RNA	Flavivirus	NA	NA	NA	AAGE02_EVE077	high	100	viral (6)	VDB (5), UDB Viruses (1)	7.24E-167	54.2	polyprotein [Falli virus] acc=QIS62329.1	polyprotein [Falli virus] acc=QIS62329.1	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Falli virus	Kitrinoviricota		
AAGE02013358	n.s.	(Aedes aegypti)	362100-373970	AAGE02013358.1_350998-356394:+	+	AY149905	1.00E-123	2.00E-35	2422-5988	NA	positive sense RNA	Flavivirus	NA	NA	NA	AAGE02_EVE075	high	100	viral (14)	VDB (11), UDB Viruses (3)	0	58.1	polyprotein [Falli virus] acc=QIS62329.1	polyprotein [Falli virus] acc=QIS62329.1	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Falli virus	Kitrinoviricota		
