qseqid	qtart	qend	sseqid	bitscore	Orientation	identity	length	mismatches	gaps	sstart	send	evalue	ssciname	database	taxid	viral_lineage																
AAGE02000109.1_10279-11625:+	30	1323	YP_009182182.1	195	+	30	433	273	7	18	423	1.16E-56	YP_009182182.1 acc|REFSEQ|YP_009182182.1|REFSEQ|NC_028484|putative nucleoprotein [Tongilchon virus 1] acc=YP_009182182.1 taxid=1758878	VDB	1758878	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Ohlsrhavirus;s__Ohlsrhavirus tongilchon																
AAGE02000109.1_10279-11625:+	30	1323	UniRef50_A0A140D047	201	+	31.6	434	268	7	18	426	2.05E-56	UniRef50_A0A140D047 Nucleoprotein n=4 Tax=Riverside virus 1 TaxID=1803263 RepID=A0A140D047_9RHAB	UDB	1803263	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Ohlsrhavirus;s__Ohlsrhavirus riverside																
AAGE02000109.1_10279-11625:+	60	1323	AXQ04837.1	192	+	31	423	265	6	28	426	1.24E-55	AXQ04837.1 acc|GENBANK|AXQ04837.1|GENBANK|MH188035|putative nucleoprotein [Culex mosquito virus 2] acc=AXQ04837.1 taxid=2304482	VDB	2304482	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Magsaviricetes;o__Nodamuvirales;f__Nodaviridae;g__unclassified Nodaviridae genus;s__Culex mosquito virus 2																
AAGE02000109.1_10279-11625:+	30	1338	BBQ04828.1	192	+	28.9	439	280	6	18	428	2.37E-55	BBQ04828.1 acc|GENBANK|BBQ04828.1|GENBANK|LC514057|nucleoprotein [Culex pseudovishnui rhabdo-like virus] acc=BBQ04828.1 taxid=2684265	VDB	2684265	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Ohlsrhavirus;s__Ohlsrhavirus pseudovishnui																
AAGE02000109.1_10279-11625:+	54	1323	YP_009361960.1	189	+	31.5	428	271	7	16	427	3.16E-54	YP_009361960.1 acc|REFSEQ|YP_009361960.1|REFSEQ|NC_034448|nucleoprotein [Mosqueiro virus] acc=YP_009361960.1 taxid=200403	VDB	200403	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Hapavirus;s__Hapavirus mosqueiro																
AAGE02000109.1_10279-11625:+	63	1323	YP_009362160.1	186	+	30.4	425	265	9	19	418	1.88E-53	YP_009362160.1 acc|REFSEQ|YP_009362160.1|REFSEQ|NC_034536|nucleoprotein [Itacaiunas virus] acc=YP_009362160.1 taxid=490111	VDB	490111	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Curiovirus;s__Curiovirus itacaiunas																
AAGE02000109.1_10279-11625:+	195	1323	YP_009176993.1	184	+	30.4	391	241	8	60	435	1.50E-52	YP_009176993.1 acc|REFSEQ|YP_009176993.1|REFSEQ|NC_028234|N protein [Santa barbara virus] acc=YP_009176993.1 taxid=1552661	VDB	1552661	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Arurhavirus;s__Arurhavirus santabarbara																
AAGE02000109.1_10279-11625:+	63	1323	UniRef50_A0A0D3R0W9	186	+	30.4	425	265	9	19	418	3.69E-51	UniRef50_A0A0D3R0W9 Nucleoprotein n=1 Tax=Itacaiunas virus TaxID=490111 RepID=A0A0D3R0W9_9RHAB	UDB	490111	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Curiovirus;s__Curiovirus itacaiunas																
AAGE02000109.1_10279-11625:+	54	1323	UniRef50_Q8B6S2	184	+	29.5	431	283	9	16	434	2.89E-50	UniRef50_Q8B6S2 Nucleoprotein n=15 Tax=Hapavirus TaxID=1972611 RepID=Q8B6S2_9RHAB	UDB	1972611	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Hapavirus;s__unclassified Hapavirus species																
AAGE02000109.1_10279-11625:+	195	1323	UniRef50_A0A097A599	184	+	30.4	391	241	8	60	435	2.95E-50	UniRef50_A0A097A599 Nucleoprotein n=1 Tax=Santa barbara virus TaxID=1552661 RepID=A0A097A599_9RHAB	UDB	1552661	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Arurhavirus;s__Arurhavirus santabarbara																
AAGE02001215.1_25557-26880:-	209	1324	UniRef50_Q16VL5	706	+	92.3	377	24	1	31	407	4.04E-255	UniRef50_Q16VL5 Nucleoprotein n=5 Tax=Aedes aegypti TaxID=7159 RepID=Q16VL5_AEDAE	UDB	7159	k__Eukaryota;K__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Culicidae;g__Aedes;s__Aedes aegypti																
AAGE02001215.1_25557-26880:-	95	1110	UniRef50_Q0IGC6	469	+	69	339	81	3	11	326	6.67E-163	UniRef50_Q0IGC6 Nucleoprotein n=2 Tax=Aedes aegypti TaxID=7159 RepID=Q0IGC6_AEDAE	UDB	7159	k__Eukaryota;K__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Culicidae;g__Aedes;s__Aedes aegypti																
AAGE02001215.1_25557-26880:-	3	937	UniRef50_Q17A07	408	+	65.6	317	97	2	13	321	7.24E-139	UniRef50_Q17A07 Nucleoprotein n=3 Tax=Aedes aegypti TaxID=7159 RepID=Q17A07_AEDAE	UDB	7159	k__Eukaryota;K__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Culicidae;g__Aedes;s__Aedes aegypti																
AAGE02001215.1_25557-26880:-	200	1315	UYL94378.1	200	+	33	382	235	6	80	451	2.60E-58	UYL94378.1 acc|GENBANK|UYL94378.1|GENBANK|ON955141|putative nucleocapsid protein [Enontekio merhavirus] acc=UYL94378.1 taxid=2980580	VDB	2980580	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Merhavirus;s__Enontekio merhavirus																
AAGE02001215.1_25557-26880:-	134	1300	UBB42399.1	199	+	33.2	389	236	6	52	417	3.35E-58	UBB42399.1 acc|GENBANK|UBB42399.1|GENBANK|MZ328293|nucleoprotein [Longquan Niviventer coninga ledantevirus 1] acc=UBB42399.1 taxid=2877507	VDB	2877507	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Ledantevirus;s__Ledantevirus longquan																
AAGE02001215.1_25557-26880:-	0	1324	BDV27057.1	200	+	31.3	469	288	9	4	466	3.82E-58	BDV27057.1 acc|GENBANK|BDV27057.1|GENBANK|LC743513|nucleoprotein [Culex tritaeniorhynchus rhabdovirus] acc=BDV27057.1 taxid=936308	VDB	936308	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Merhavirus;s__Merhavirus tritaeniorhynchus																
AAGE02001215.1_25557-26880:-	200	1315	UniRef50_A0AAE9P8V4	200	+	32.9	383	235	6	80	451	5.12E-56	UniRef50_A0AAE9P8V4 Nucleocapsid protein n=1 Tax=Enontekio merhavirus TaxID=2980580 RepID=A0AAE9P8V4_9RHAB	UDB	2980580	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Merhavirus;s__Enontekio merhavirus																
AAGE02001215.1_25557-26880:-	0	1324	UniRef50_F7J0U9	199	+	31	471	289	9	4	466	1.47E-55	UniRef50_F7J0U9 Nucleoprotein n=5 Tax=root TaxID=1 RepID=F7J0U9_9RHAB	UDB	1	k__unclassified root superkingdom;K__unclassified root kingdom;p__unclassified root phylum;c__unclassified root class;o__unclassified root order;f__unclassified root family;g__unclassified root genus;s__unclassified root species																
AAGE02001215.1_25557-26880:-	86	1300	YP_009552816.1	183	+	31.4	408	255	6	40	426	4.31E-52	YP_009552816.1 acc|REFSEQ|YP_009552816.1|REFSEQ|NC_040669|nucleoprotein [Riverside virus 1] acc=YP_009552816.1 taxid=1803263	VDB	1803263	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Ohlsrhavirus;s__Ohlsrhavirus riverside																
AAGE02001215.1_25557-26880:-	167	1315	BBQ04828.1	182	+	30.7	384	242	5	67	428	8.40E-52	BBQ04828.1 acc|GENBANK|BBQ04828.1|GENBANK|LC514057|nucleoprotein [Culex pseudovishnui rhabdo-like virus] acc=BBQ04828.1 taxid=2684265	VDB	2684265	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Ohlsrhavirus;s__Ohlsrhavirus pseudovishnui																
AAGE02001215.1_25557-26880:-	131	1300	YP_009182182.1	182	+	30.9	392	246	6	54	423	1.17E-51	YP_009182182.1 acc|REFSEQ|YP_009182182.1|REFSEQ|NC_028484|putative nucleoprotein [Tongilchon virus 1] acc=YP_009182182.1 taxid=1758878	VDB	1758878	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Ohlsrhavirus;s__Ohlsrhavirus tongilchon																
AAGE02001215.1_25557-26880:-	125	1300	YP_009362160.1	181	+	31	397	251	6	39	418	1.20E-51	YP_009362160.1 acc|REFSEQ|YP_009362160.1|REFSEQ|NC_034536|nucleoprotein [Itacaiunas virus] acc=YP_009362160.1 taxid=490111	VDB	490111	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Curiovirus;s__Curiovirus itacaiunas																
AAGE02001215.1_25557-26880:-	86	1300	AXQ04837.1	181	+	31	407	258	6	40	426	2.34E-51	AXQ04837.1 acc|GENBANK|AXQ04837.1|GENBANK|MH188035|putative nucleoprotein [Culex mosquito virus 2] acc=AXQ04837.1 taxid=2304482	VDB	2304482	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Magsaviricetes;o__Nodamuvirales;f__Nodaviridae;g__unclassified Nodaviridae genus;s__Culex mosquito virus 2																
AAGE02001215.1_25557-26880:-	86	1300	WCD55362.1	179	+	29.9	408	264	6	34	423	8.31E-51	WCD55362.1 acc|GENBANK|WCD55362.1|GENBANK|OQ077989|nucleocapsid protein [Adumi ohlsrhavirus] acc=WCD55362.1 taxid=3018307	VDB	3018307	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Ohlsrhavirus;s__Adumi ohlsrhavirus																
AAGE02001215.1_25557-26880:-	185	1300	YP_009176993.1	179	+	30.5	387	242	8	60	435	9.47E-51	YP_009176993.1 acc|REFSEQ|YP_009176993.1|REFSEQ|NC_028234|N protein [Santa barbara virus] acc=YP_009176993.1 taxid=1552661	VDB	1552661	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Arurhavirus;s__Arurhavirus santabarbara																
AAGE02001215.1_25557-26880:-	167	1300	YP_009361960.1	178	+	31.9	382	245	6	56	427	2.16E-50	YP_009361960.1 acc|REFSEQ|YP_009361960.1|REFSEQ|NC_034448|nucleoprotein [Mosqueiro virus] acc=YP_009361960.1 taxid=200403	VDB	200403	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Hapavirus;s__Hapavirus mosqueiro																
AAGE02001215.1_25557-26880:-	86	1300	UniRef50_A0A140D047	183	+	31.3	409	255	6	40	426	8.48E-50	UniRef50_A0A140D047 Nucleoprotein n=4 Tax=Riverside virus 1 TaxID=1803263 RepID=A0A140D047_9RHAB	UDB	1803263	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Ohlsrhavirus;s__Ohlsrhavirus riverside																
AAGE02001215.1_25557-26880:-	125	1300	UniRef50_A0A0D3R0W9	181	+	30.9	398	251	6	39	418	2.36E-49	UniRef50_A0A0D3R0W9 Nucleoprotein n=1 Tax=Itacaiunas virus TaxID=490111 RepID=A0A0D3R0W9_9RHAB	UDB	490111	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Curiovirus;s__Curiovirus itacaiunas																
AAGE02001215.1_25557-26880:-	86	1300	ARE72399.1	174	+	30.2	414	267	8	30	431	6.58E-49	ARE72399.1 acc|GENBANK|ARE72399.1|NEIGHBOR|KX497133|nucleoprotein [Kamese virus] acc=ARE72399.1 taxid=200402	VDB	200402	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Hapavirus;s__Hapavirus kamese																
AAGE02001215.1_25557-26880:-	86	1300	UNP42117.1	174	+	29.8	416	254	12	30	419	7.10E-49	UNP42117.1 acc|GENBANK|UNP42117.1|GENBANK|OK086698|nucleoprotein [Porcine ephemerovirus 2] acc=UNP42117.1 taxid=2928257	VDB	2928257	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Ephemerovirus;s__Porcine ephemerovirus 2																
AAGE02001215.1_25557-26880:-	185	1300	UniRef50_A0A097A599	179	+	30.4	388	242	8	60	435	1.86E-48	UniRef50_A0A097A599 Nucleoprotein n=1 Tax=Santa barbara virus TaxID=1552661 RepID=A0A097A599_9RHAB	UDB	1552661	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Arurhavirus;s__Arurhavirus santabarbara																
AAGE02002666.1_109699-110964:-	147	1266	UniRef50_Q16VL5	594	+	75.9	373	90	0	31	404	5.37E-211	UniRef50_Q16VL5 Nucleoprotein n=5 Tax=Aedes aegypti TaxID=7159 RepID=Q16VL5_AEDAE	UDB	7159	k__Eukaryota;K__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Culicidae;g__Aedes;s__Aedes aegypti																
AAGE02002666.1_109699-110964:-	39	888	UniRef50_Q0IGC6	456	+	77.7	283	60	1	13	293	6.86E-158	UniRef50_Q0IGC6 Nucleoprotein n=2 Tax=Aedes aegypti TaxID=7159 RepID=Q0IGC6_AEDAE	UDB	7159	k__Eukaryota;K__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Culicidae;g__Aedes;s__Aedes aegypti																
AAGE02002666.1_109699-110964:-	0	851	UniRef50_Q17A07	437	+	76.8	285	58	1	36	313	2.17E-150	UniRef50_Q17A07 Nucleoprotein n=3 Tax=Aedes aegypti TaxID=7159 RepID=Q17A07_AEDAE	UDB	7159	k__Eukaryota;K__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Culicidae;g__Aedes;s__Aedes aegypti																
AAGE02002666.1_109699-110964:-	75	1251	UBB42399.1	199	+	33.8	394	232	7	50	417	2.04E-58	UBB42399.1 acc|GENBANK|UBB42399.1|GENBANK|MZ328293|nucleoprotein [Longquan Niviventer coninga ledantevirus 1] acc=UBB42399.1 taxid=2877507	VDB	2877507	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Ledantevirus;s__Ledantevirus longquan																
AAGE02002666.1_109699-110964:-	0	1266	UYL94378.1	199	+	31.1	427	277	6	36	451	3.09E-58	UYL94378.1 acc|GENBANK|UYL94378.1|GENBANK|ON955141|putative nucleocapsid protein [Enontekio merhavirus] acc=UYL94378.1 taxid=2980580	VDB	2980580	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Merhavirus;s__Enontekio merhavirus																
AAGE02002666.1_109699-110964:-	0	1251	AXQ04837.1	197	+	32.4	420	255	8	32	426	1.54E-57	AXQ04837.1 acc|GENBANK|AXQ04837.1|GENBANK|MH188035|putative nucleoprotein [Culex mosquito virus 2] acc=AXQ04837.1 taxid=2304482	VDB	2304482	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Magsaviricetes;o__Nodamuvirales;f__Nodaviridae;g__unclassified Nodaviridae genus;s__Culex mosquito virus 2																
AAGE02002666.1_109699-110964:-	0	1266	UniRef50_A0AAE9P8V4	199	+	31.1	427	277	6	36	451	6.09E-56	UniRef50_A0AAE9P8V4 Nucleocapsid protein n=1 Tax=Enontekio merhavirus TaxID=2980580 RepID=A0AAE9P8V4_9RHAB	UDB	2980580	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Merhavirus;s__Enontekio merhavirus																
AAGE02002666.1_109699-110964:-	0	1251	YP_009552816.1	191	+	31.1	421	259	6	32	426	3.29E-55	YP_009552816.1 acc|REFSEQ|YP_009552816.1|REFSEQ|NC_040669|nucleoprotein [Riverside virus 1] acc=YP_009552816.1 taxid=1803263	VDB	1803263	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Ohlsrhavirus;s__Ohlsrhavirus riverside																
AAGE02002666.1_109699-110964:-	0	1251	BBQ04828.1	189	+	30.8	419	260	6	32	423	1.26E-54	BBQ04828.1 acc|GENBANK|BBQ04828.1|GENBANK|LC514057|nucleoprotein [Culex pseudovishnui rhabdo-like virus] acc=BBQ04828.1 taxid=2684265	VDB	2684265	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Ohlsrhavirus;s__Ohlsrhavirus pseudovishnui																
AAGE02002666.1_109699-110964:-	0	1251	UNP42117.1	188	+	29.8	426	261	11	22	419	2.62E-54	UNP42117.1 acc|GENBANK|UNP42117.1|GENBANK|OK086698|nucleoprotein [Porcine ephemerovirus 2] acc=UNP42117.1 taxid=2928257	VDB	2928257	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Ephemerovirus;s__Porcine ephemerovirus 2																
AAGE02002666.1_109699-110964:-	0	1251	UniRef50_A0A140D047	191	+	31.1	421	259	6	32	426	6.47E-53	UniRef50_A0A140D047 Nucleoprotein n=4 Tax=Riverside virus 1 TaxID=1803263 RepID=A0A140D047_9RHAB	UDB	1803263	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Ohlsrhavirus;s__Ohlsrhavirus riverside																
AAGE02002666.1_109699-110964:-	0	1251	YP_009361960.1	182	+	29.6	422	275	7	22	427	4.83E-52	YP_009361960.1 acc|REFSEQ|YP_009361960.1|REFSEQ|NC_034448|nucleoprotein [Mosqueiro virus] acc=YP_009361960.1 taxid=200403	VDB	200403	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Hapavirus;s__Hapavirus mosqueiro																
AAGE02002666.1_109699-110964:-	123	1251	YP_009176993.1	181	+	32	387	240	9	60	435	1.57E-51	YP_009176993.1 acc|REFSEQ|YP_009176993.1|REFSEQ|NC_028234|N protein [Santa barbara virus] acc=YP_009176993.1 taxid=1552661	VDB	1552661	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Arurhavirus;s__Arurhavirus santabarbara																
AAGE02002666.1_109699-110964:-	0	1251	YP_009182182.1	180	+	29.8	419	264	7	32	423	2.81E-51	YP_009182182.1 acc|REFSEQ|YP_009182182.1|REFSEQ|NC_028484|putative nucleoprotein [Tongilchon virus 1] acc=YP_009182182.1 taxid=1758878	VDB	1758878	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Ohlsrhavirus;s__Ohlsrhavirus tongilchon																
AAGE02002666.1_109699-110964:-	0	1251	WCD55362.1	180	+	28.5	418	277	5	26	423	3.76E-51	WCD55362.1 acc|GENBANK|WCD55362.1|GENBANK|OQ077989|nucleocapsid protein [Adumi ohlsrhavirus] acc=WCD55362.1 taxid=3018307	VDB	3018307	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Ohlsrhavirus;s__Adumi ohlsrhavirus																
AAGE02002666.1_109699-110964:-	123	1254	BDV27057.1	179	+	29.7	397	250	8	71	459	2.26E-50	BDV27057.1 acc|GENBANK|BDV27057.1|GENBANK|LC743513|nucleoprotein [Culex tritaeniorhynchus rhabdovirus] acc=BDV27057.1 taxid=936308	VDB	936308	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Merhavirus;s__Merhavirus tritaeniorhynchus																
AAGE02002666.1_109699-110964:-	0	1251	ARE72399.1	177	+	29.6	425	275	8	22	431	2.91E-50	ARE72399.1 acc|GENBANK|ARE72399.1|NEIGHBOR|KX497133|nucleoprotein [Kamese virus] acc=ARE72399.1 taxid=200402	VDB	200402	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Hapavirus;s__Hapavirus kamese																
AAGE02002666.1_109699-110964:-	123	1251	UniRef50_A0A097A599	181	+	32	387	240	9	60	435	3.09E-49	UniRef50_A0A097A599 Nucleoprotein n=1 Tax=Santa barbara virus TaxID=1552661 RepID=A0A097A599_9RHAB	UDB	1552661	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Arurhavirus;s__Arurhavirus santabarbara																
AAGE02002666.1_109699-110964:-	0	1251	UniRef50_UPI0024918FD4	179	+	28.7	422	271	7	29	426	2.15E-48	UniRef50_UPI0024918FD4 uncharacterized protein LOC129954268 n=1 Tax=Eupeodes corollae TaxID=290404 RepID=UPI0024918FD4	UDB	290404	k__Eukaryota;K__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Syrphidae;g__Eupeodes;s__Eupeodes corollae																
AAGE02002666.1_109699-110964:-	123	1254	UniRef50_F7J0U9	179	+	29.7	397	250	8	71	459	4.45E-48	UniRef50_F7J0U9 Nucleoprotein n=5 Tax=root TaxID=1 RepID=F7J0U9_9RHAB	UDB	1	k__unclassified root superkingdom;K__unclassified root kingdom;p__unclassified root phylum;c__unclassified root class;o__unclassified root order;f__unclassified root family;g__unclassified root genus;s__unclassified root species																
AAGE02016722.1_26155-27430:-	55	1276	UniRef50_Q16VL5	820	+	100	407	0	0	0	407	2.42E-300	UniRef50_Q16VL5 Nucleoprotein n=5 Tax=Aedes aegypti TaxID=7159 RepID=Q16VL5_AEDAE	UDB	7159	k__Eukaryota;K__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Culicidae;g__Aedes;s__Aedes aegypti																
